"Story","Title","Result","Date","Stability","Duration (s)"
"Cdas","Cdas - Completo","SUCCESS","2020-03-26T22:13:56.468-05:00[America/Bogota]","0.0","1223.51"
"Cdas","Cdas - Incompleto","ERROR","2020-03-26T22:34:19.981-05:00[America/Bogota]","0.0","829.59"
"Cdas","Cdas - Excepcion","FAILURE","2020-03-26T22:48:09.69-05:00[America/Bogota]","0.0","1201.54"
"Creacion credito nuevo finsonet","Creacion nuevo credito","SUCCESS","2020-03-26T14:20:55.005-05:00[America/Bogota]","0.0","62.75"
"Creacion credito nuevo finsonet","Creacion nuevo credito huy","SUCCESS","2020-03-26T14:21:57.772-05:00[America/Bogota]","0.0","57.14"
"Creacion credito nuevo finsonet","Creacion nuevo credito - Campos faltantes","SUCCESS","2020-03-26T14:22:54.922-05:00[America/Bogota]","0.0","46.3"
"Formulario de solicitud de credito finsonet","Diligenciar formulario de solicitud de credito - Cliente","SUCCESS","2020-03-26T15:23:34.344-05:00[America/Bogota]","0.0","275.93"
"Realizar gestion de llamada","Asignar una llamada para nuevo credito","SUCCESS","2020-03-26T12:25:37.527-05:00[America/Bogota]","0.0","712.06"
"Liquidador de comisiones Finsonet","Liquidador de comisiones - Global Venta Nueva","SUCCESS","2020-03-26T15:19:10.289-05:00[America/Bogota]","0.0","64.09"
"Liquidador de comisiones Finsonet","Liquidador de comisiones - Global Venta Liberada","SUCCESS","2020-03-26T15:20:14.378-05:00[America/Bogota]","0.0","56.77"
"Login Finsonet","Ingreso exitoso de un usuario a la pagina finsonet","SUCCESS","2020-03-26T13:02:00.389-05:00[America/Bogota]","0.0","20.24"
"Login Finsonet","Loguin Alternativo","SUCCESS","2020-03-26T13:02:20.632-05:00[America/Bogota]","0.0","20.3"
"Originacion","Aprobacion de Creditos - Aprobar el credito desde aprobacion de creditos","SUCCESS","2020-03-26T10:17:09.566-05:00[America/Bogota]","0.0","496.1"
"Originacion","Aprobacion de Creditos - Marcar el credito como pendiente en aprobacion de creditos","SUCCESS","2020-03-26T10:25:25.676-05:00[America/Bogota]","0.0","372.64"
"Originacion","Aprobacion de Creditos - Regresar el credito desde aprobacion de creditos","SUCCESS","2020-03-26T10:31:38.317-05:00[America/Bogota]","0.0","363.64"
"Originacion","Chequeo Documentos - Aprobacion chequeo de documentos","SUCCESS","2020-03-26T11:06:52.752-05:00[America/Bogota]","0.0","313.77"
"Originacion","Chequeo Documentos - Aprobacion chequeo documentos no exitosa","SUCCESS","2020-03-26T11:12:06.526-05:00[America/Bogota]","0.0","271.33"
"Originacion","Chequeo Documentos - Chequeo de documentos estado Pendiente","SUCCESS","2020-03-26T11:16:37.863-05:00[America/Bogota]","0.0","293.29"
"Originacion","Confirmacion - Aprobacion del paso de confirmacion de un credito","SUCCESS","2020-03-26T11:23:28.608-05:00[America/Bogota]","0.0","335.14"
"Originacion","Confirmacion - Regresar el credito desde el paso de confirmacion","SUCCESS","2020-03-26T11:29:03.751-05:00[America/Bogota]","0.0","347.69"
"Originacion","Confirmacion - Marcar como pendiente el credito en el paso de confirmacion","SUCCESS","2020-03-26T11:34:51.447-05:00[America/Bogota]","0.0","334.46"
"Originacion","Formalizacion - Regresar el credito desde formalizacion","SUCCESS","2020-03-26T11:44:55.154-05:00[America/Bogota]","0.0","741.77"
"Originacion","Formalizacion - Marcar el credito como pendiente en formalizacion","SUCCESS","2020-03-26T11:57:16.927-05:00[America/Bogota]","0.0","668.02"
"Originacion","Tesoreria - Regresar el credito desde tesoreria","FAILURE","2020-03-26T13:05:58.788-05:00[America/Bogota]","0.0","44.54"
"Originacion","Tesoreria - Marcar el credito como pendiente en tesoreria","SUCCESS","2020-03-26T13:06:43.334-05:00[America/Bogota]","0.0","822.64"
"Originacion","Incorporacion - Marcar el credito como pendiente en incorporacion","SUCCESS","2020-03-26T14:49:20.339-05:00[America/Bogota]","0.0","579.74"
"Originacion","Incorporacion - Regresar el credito desde incorporacion","SUCCESS","2020-03-26T15:29:46.31-05:00[America/Bogota]","0.0","639.46"
"Originacion","Incorporacion - Aprobar el credito desde incorporacion","ERROR","2020-03-26T19:31:22.28-05:00[America/Bogota]","0.0","299.64"
"Originacion","Formalizacion - Aprobar el credito desde formalizacion","SUCCESS","2020-03-26T19:44:12.621-05:00[America/Bogota]","0.0","866.12"
"Reportes de venta Finsonet","Reporte de venta - Antecartera","SUCCESS","2020-03-26T13:02:41.181-05:00[America/Bogota]","0.0","45.73"
"Reportes de venta Finsonet","Reporte de venta - Originacion","SUCCESS","2020-03-26T13:03:26.917-05:00[America/Bogota]","0.0","48.12"
"Reportes de venta Finsonet","Reporte de venta - Venta Nueva","SUCCESS","2020-03-26T13:04:15.039-05:00[America/Bogota]","0.0","52.51"
"Reportes de venta Finsonet","Reporte de venta - Venta Liberada","SUCCESS","2020-03-26T13:05:07.553-05:00[America/Bogota]","0.0","50.69"
"Vetados","Asignar veto interno persona natural","SUCCESS","2020-03-26T15:16:53.747-05:00[America/Bogota]","0.0","100.59"
